Seed,Scenario,Method,NRE,DetectionF1,RecoveryMaskF1,LevelMacroF1,rESS,SelectedFraction,InputHash,ReferenceHash,EpsRec
20270001,EB,tSVD-LRA,1.69784874763887,NaN,NaN,NaN,NaN,NaN,-7.560977455042e+02_1.326868885906e+06_2.303708000279e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,EB,HCL-TRPCA,0.00833985356864444,0.990901527147803,0.917358246782289,0.958952788283987,0.82305952880492,0.177294921875,-7.560977455042e+02_1.326868885906e+06_2.303708000279e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,EB,Oracle,0.00780271497638916,NaN,NaN,NaN,NaN,0.150227864583333,-7.560977455042e+02_1.326868885906e+06_2.303708000279e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,ES,tSVD-LRA,1.61018147454987,NaN,NaN,NaN,NaN,NaN,-1.136271915234e+03_1.325894839471e+06_2.303699858437e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,ES,HCL-TRPCA,0.00786576595534475,0.992729035385361,0.985167962799647,0.989249880554228,0.845792305306301,0.1545166015625,-1.136271915234e+03_1.325894839471e+06_2.303699858437e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,ES,Oracle,0.00778979394675915,NaN,NaN,NaN,NaN,0.15,-1.136271915234e+03_1.325894839471e+06_2.303699858437e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,BS,tSVD-LRA,1.94546411927437,NaN,NaN,NaN,NaN,NaN,-1.130343783156e+03_1.734093415674e+06_2.757080269998e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,BS,HCL-TRPCA,0.00833030505804617,0.997660724368799,0.977688187980475,0.991587029322878,0.789930916479782,0.210489908854167,-1.130343783156e+03_1.734093415674e+06_2.757080269998e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,BS,Oracle,0.00821529460400135,NaN,NaN,NaN,NaN,0.201302083333333,-1.130343783156e+03_1.734093415674e+06_2.757080269998e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,EBS,tSVD-LRA,2.14512571980524,NaN,NaN,NaN,NaN,NaN,-1.372031412026e+02_2.134401013282e+06_3.200016062297e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,EBS,HCL-TRPCA,0.0087565297200058,0.999385093368717,0.989585002403461,0.978798044780464,0.743921218514075,0.256591796875,-1.372031412026e+02_2.134401013282e+06_3.200016062297e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270001,EBS,Oracle,0.00865442455601009,NaN,NaN,NaN,NaN,0.251302083333333,-1.372031412026e+02_2.134401013282e+06_3.200016062297e+05_122880,1.313222192919e+01_1.228790014034e+05_9.778147453141e+04_122880,0.001
20270002,EB,tSVD-LRA,1.6781558124419,NaN,NaN,NaN,NaN,NaN,-4.483430038618e+02_1.334328386684e+06_2.315820013339e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,EB,HCL-TRPCA,0.00900312244511702,0.988053744845018,0.900070287694806,0.955587484076314,0.815709346010962,0.184659830729167,-4.483430038618e+02_1.334328386684e+06_2.315820013339e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,EB,Oracle,0.00781790427527737,NaN,NaN,NaN,NaN,0.151106770833333,-4.483430038618e+02_1.334328386684e+06_2.315820013339e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,ES,tSVD-LRA,1.60783072774857,NaN,NaN,NaN,NaN,NaN,-1.231163552551e+03_1.324353909423e+06_2.305270128833e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,ES,HCL-TRPCA,0.00787392782793279,0.992996444348669,0.988841201716738,0.989639783232388,0.846921228515299,0.153385416666667,-1.231163552551e+03_1.324353909423e+06_2.305270128833e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,ES,Oracle,0.00781722767141508,NaN,NaN,NaN,NaN,0.15,-1.231163552551e+03_1.324353909423e+06_2.305270128833e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,BS,tSVD-LRA,1.93275668864079,NaN,NaN,NaN,NaN,NaN,-1.044629294955e+03_1.730282224005e+06_2.750649227121e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,BS,HCL-TRPCA,0.0083438786507682,0.997810396561512,0.982374897702549,0.990698635799917,0.792968450258627,0.2074462890625,-1.044629294955e+03_1.730282224005e+06_2.750649227121e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,BS,Oracle,0.008251139427105,NaN,NaN,NaN,NaN,0.200260416666667,-1.044629294955e+03_1.730282224005e+06_2.750649227121e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,EBS,tSVD-LRA,2.1406131179677,NaN,NaN,NaN,NaN,NaN,-4.850627437526e+02_2.127449141175e+06_3.190194897318e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,EBS,HCL-TRPCA,0.00882181288047371,0.999415014624634,0.988683127572016,0.978318972630754,0.744522227745268,0.255989583333333,-4.850627437526e+02_2.127449141175e+06_3.190194897318e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270002,EBS,Oracle,0.00870384228256718,NaN,NaN,NaN,NaN,0.250260416666667,-4.850627437526e+02_2.127449141175e+06_3.190194897318e+05_122880,1.133078451588e+02_1.228791044813e+05_9.790962704290e+04_122880,0.001
20270003,EB,tSVD-LRA,1.69359603590479,NaN,NaN,NaN,NaN,NaN,1.118871411818e+03_1.325348111478e+06_2.303894748757e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,EB,HCL-TRPCA,0.00823278613237907,0.991879537510083,0.915584899103974,0.95888432168829,0.822580345611265,0.177775065104167,1.118871411818e+03_1.325348111478e+06_2.303894748757e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,EB,Oracle,0.00779973858328034,NaN,NaN,NaN,NaN,0.15009765625,1.118871411818e+03_1.325348111478e+06_2.303894748757e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,ES,tSVD-LRA,1.62916774297975,NaN,NaN,NaN,NaN,NaN,8.653625420116e+02_1.326902387069e+06_2.304882760054e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,ES,HCL-TRPCA,0.00787046168157006,0.993692382338671,0.990089436789944,0.990656444657403,0.847302950752387,0.1530029296875,8.653625420116e+02_1.326902387069e+06_2.304882760054e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,ES,Oracle,0.00779177339714687,NaN,NaN,NaN,NaN,0.15,8.653625420116e+02_1.326902387069e+06_2.304882760054e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,BS,tSVD-LRA,1.92303821454246,NaN,NaN,NaN,NaN,NaN,-2.011550553818e+02_1.725365069812e+06_2.748808844347e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,BS,HCL-TRPCA,0.0083152525324588,0.997934135374894,0.977114980367271,0.992479039947394,0.790540047582167,0.209879557291667,-2.011550553818e+02_1.725365069812e+06_2.748808844347e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,BS,Oracle,0.00816663804881684,NaN,NaN,NaN,NaN,0.20048828125,-2.011550553818e+02_1.725365069812e+06_2.748808844347e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,EBS,tSVD-LRA,2.13175085793758,NaN,NaN,NaN,NaN,NaN,4.021466537445e+02_2.127770305477e+06_3.191471843229e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,EBS,HCL-TRPCA,0.00868723613507067,0.999480452006754,0.992967288212143,0.980417084595657,0.746471446885535,0.254036458333333,4.021466537445e+02_2.127770305477e+06_3.191471843229e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270003,EBS,Oracle,0.00861054424328999,NaN,NaN,NaN,NaN,0.25048828125,4.021466537445e+02_2.127770305477e+06_3.191471843229e+05_122880,1.059769170021e+02_1.228790913990e+05_9.779600307243e+04_122880,0.001
20270004,EB,tSVD-LRA,1.66900631961588,NaN,NaN,NaN,NaN,NaN,1.186818039082e+03_1.326469338037e+06_2.306521812507e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,EB,HCL-TRPCA,0.00809771538401044,0.992630050029587,0.945771399282419,0.958893736280232,0.832951819324236,0.1673828125,1.186818039082e+03_1.326469338037e+06_2.306521812507e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,EB,Oracle,0.00779614423936555,NaN,NaN,NaN,NaN,0.150162760416667,1.186818039082e+03_1.326469338037e+06_2.306521812507e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,ES,tSVD-LRA,1.61176965132471,NaN,NaN,NaN,NaN,NaN,1.229243884372e+03_1.330175490927e+06_2.308348556942e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,ES,HCL-TRPCA,0.00782636377381104,0.992622112122355,0.988496500683774,0.989094093297246,0.846815645768955,0.1534912109375,1.229243884372e+03_1.330175490927e+06_2.308348556942e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,ES,Oracle,0.00773923945536851,NaN,NaN,NaN,NaN,0.15,1.229243884372e+03_1.330175490927e+06_2.308348556942e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,BS,tSVD-LRA,1.93026134237186,NaN,NaN,NaN,NaN,NaN,-2.739186911175e+01_1.729076377335e+06_2.749690845634e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,BS,HCL-TRPCA,0.008365922493011,0.997586353771576,0.977774243568844,0.992473295665443,0.791189787426373,0.209228515625,-2.739186911175e+01_1.729076377335e+06_2.749690845634e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,BS,Oracle,0.00817840728001108,NaN,NaN,NaN,NaN,0.200130208333333,-2.739186911175e+01_1.729076377335e+06_2.749690845634e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,EBS,tSVD-LRA,2.13730351060197,NaN,NaN,NaN,NaN,NaN,1.079871032099e+03_2.127975985872e+06_3.191637897451e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,EBS,HCL-TRPCA,0.00871546636823391,0.999284738929709,0.993037494144064,0.979297740239632,0.746869412462265,0.2536376953125,1.079871032099e+03_2.127975985872e+06_3.191637897451e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270004,EBS,Oracle,0.00863568275424837,NaN,NaN,NaN,NaN,0.250130208333333,1.079871032099e+03_2.127975985872e+06_3.191637897451e+05_122880,-7.283138088285e+02_1.228833167399e+05_9.785222633724e+04_122880,0.001
20270005,EB,tSVD-LRA,1.67832177235037,NaN,NaN,NaN,NaN,NaN,-1.024992332993e+02_1.326093936978e+06_2.306055439629e+05_122880,5.360431508946e+02_1.228813383973e+05_9.798634128682e+04_122880,0.001
20270005,EB,HCL-TRPCA,0.0082689243571105,0.990568319226119,0.934827813561901,0.959593965825646,0.829426980134075,0.170914713541667,-1.024992332993e+02_1.326093936978e+06_2.306055439629e+05_122880,5.360431508946e+02_1.228813383973e+05_9.798634128682e+04_122880,0.001
20270005,EB,Oracle,0.00784418027101915,NaN,NaN,NaN,NaN,0.15,-1.024992332993e+02_1.326093936978e+06_2.306055439629e+05_122880,5.360431508946e+02_1.228813383973e+05_9.798634128682e+04_122880,0.001
20270005,ES,tSVD-LRA,1.61012965141626,NaN,NaN,NaN,NaN,NaN,-7.422019408131e+02_1.327493700774e+06_2.306261140508e+05_122880,5.360431508946e+02_1.228813383973e+05_9.798634128682e+04_122880,0.001
20270005,ES,HCL-TRPCA,0.00790506797854918,0.991794237133095,0.985852967132886,0.987890097673311,0.84600347079831,0.154305013020833,-7.422019408131e+02_1.327493700774e+06_2.306261140508e+05_122880,5.360431508946e+02_1.228813383973e+05_9.798634128682e+04_122880,0.001
