Seed,FittedRank,NRE,DetectionF1,RecoveryMaskF1,LevelMacroF1,Iterations,FinalRelChange,ToleranceMet
20272001,3,0.500674320911032,0.999239568333684,0.999967617628963,0.978726107241609,80,0.000130272396158336,0
20272001,4,0.325979286260253,0.998625596248686,0.999935237355094,0.977660154877484,72,9.50827354029363e-06,1
20272001,5,0.00869057926520972,0.999401265433597,0.994204764971024,0.978516927175475,39,8.17540636789166e-06,1
20272001,6,0.0644190929455201,0.995230114735078,0.990060916960564,0.972788473437544,80,0.000252381114291871,0
20272001,8,0.246330967430103,0.988039388359619,0.989401106389802,0.962724732073254,80,0.000651553722467002,0
20272002,3,0.511449223382491,0.999205590052042,0.999902657451572,0.976683940319692,80,6.66034149579483e-05,0
20272002,4,0.336822391084621,0.998849326612969,0.999870214146658,0.976237933689032,80,3.36219502199414e-05,0
20272002,5,0.00872888508748061,0.999335203411541,0.992064386317907,0.977129942873047,46,9.00464006962888e-06,1
20272002,6,0.080654525873672,0.996588134469544,0.988452655889146,0.973300726438642,80,0.000448939972874964,0
20272002,8,0.286804825757985,0.967411618739497,0.986298296501659,0.935076350271114,80,0.00127374530988312,0
20272003,3,0.511771423160688,0.998835403726708,0.999854276970904,0.977083045071137,80,7.90752767414577e-05,0
20272003,4,0.340095083989881,0.997899227562134,0.999724781039033,0.975789999827335,80,0.000266586768348531,0
20272003,5,0.00869299561137618,0.999287979804518,0.993468258309469,0.97816995646789,40,8.60625016744557e-06,1
20272003,6,0.0864409492332785,0.996144601635721,0.989805731871514,0.973977521790662,80,0.000435594632235592,0
20272003,8,0.252989604662961,0.972111553784861,0.987865010245902,0.941117618899344,80,0.00113628189845724,0
20272004,3,0.504575754610853,0.999060546179015,0.999967575629843,0.97996515564891,80,0.000142783797894539,0
20272004,4,0.325102722328831,0.998575314078487,0.999821691981002,0.978938715485647,80,1.95545637922795e-05,0
20272004,5,0.00874953440523564,0.999335720419306,0.988509062935718,0.98009271892938,49,9.38218367493906e-06,1
20272004,6,0.191480460620788,0.983181622535032,0.984837106747408,0.958311432790863,80,0.000896956422645462,0
20272004,8,0.606208639480045,0.919188599766976,0.98060355200462,0.880705805497652,80,0.00301134160774492,0
20272005,3,0.517610417856277,0.999207029922483,0.999967609237845,0.978803087805565,80,1.86749595726601e-05,0
20272005,4,0.340721001877183,0.998237757263189,0.999838067169738,0.977394048386321,80,3.40815054359612e-05,0
20272005,5,0.00869917673690695,0.999401110373739,0.994956249899286,0.979357408685854,38,8.30244704777655e-06,1
20272005,6,0.0611704204622657,0.996128033040785,0.990550751608297,0.974387347360684,80,0.000367562290734205,0
20272005,8,0.190966827125347,0.99402605349178,0.988740289901498,0.971708760830552,80,0.000640991281532065,0
20272006,3,0.506889284476532,0.99904349658739,0.999967546165579,0.977063836973047,80,0.000107205502037018,0
20272006,4,0.330992541610005,0.999027300434473,0.999918869363449,0.977450524573395,80,0.00012854896491117,0
20272006,5,0.00874023411819886,0.999318911555801,0.994304338706294,0.978071968980598,37,8.99388130243149e-06,1
20272006,6,0.0767518545016295,0.997200511351684,0.989165155138927,0.974968017716528,80,0.000369938923685999,0
20272006,8,0.216465492548036,0.991133353716428,0.988253795051189,0.96650107260236,80,0.000732684854994016,0
20272007,3,0.503434078923097,0.999220272904483,1,0.979769551660756,80,4.14009178389392e-05,0
20272007,4,0.324637528080871,0.998522799214324,0.999804954164229,0.978343041433488,72,9.15373528563956e-06,1
20272007,5,0.00877541436444153,0.999398852946433,0.993988753151057,0.979479549813621,36,8.87171799220204e-06,1
20272007,6,0.0564937383587788,0.99730860274328,0.989082021514367,0.976589199209282,80,0.000414185990968696,0
20272007,8,0.217280494533351,0.981361503845786,0.987645594023616,0.954849312844633,80,0.000916148534708171,0
20272008,3,0.506333791441711,0.998814338384577,0.999967478617191,0.979938283491352,80,0.000312447719249271,0
20272008,4,0.327143534816146,0.998489990095634,0.999821158567318,0.97921241109611,76,9.89890484026932e-06,1
20272008,5,0.00875665876570734,0.999268780162818,0.99287986179505,0.980569571800822,52,9.3247130431448e-06,1
20272008,6,0.105831519769076,0.99606407619171,0.987919290579617,0.975916126437955,80,0.000418541516778187,0
20272008,8,0.224542733429845,0.983223784164148,0.986423596623552,0.958601586102824,80,0.000816656827553425,0
20272009,3,0.511756444948949,0.999301982046329,0.999983755949383,0.981949110902902,80,9.1294868921686e-05,0
20272009,4,0.332177154053965,0.998637336967101,0.999902543611734,0.981068833711523,67,9.68236114205897e-06,1
20272009,5,0.0087282150390788,0.99926953981008,0.994635817230014,0.982227009156036,35,7.69415395901314e-06,1
20272009,6,0.0420754728626445,0.997795643153527,0.989599241242947,0.979816909680292,80,0.000320804770612987,0
20272009,8,0.222066343338157,0.982453899576914,0.987129284888946,0.958521916607849,80,0.00103121506342026,0
20272010,3,0.504104560706338,0.999236405582363,0.999967482847202,0.979520796455995,80,1.80773548416955e-05,0
20272010,4,0.336655739746698,0.998944273904075,0.999918711082931,0.978729721300422,79,9.70628353884858e-06,1
20272010,5,0.00879571893605412,0.999252640129976,0.986668805646908,0.979328524827332,50,8.48684010627475e-06,1
20272010,6,0.105276283435447,0.993650332024623,0.984835140198889,0.971392447619062,80,0.00045419034796389,0
20272010,8,0.515165986626219,0.936576279467448,0.982308990118101,0.898943852815258,80,0.0019568456154352,0
