Seed,RequestedDelta,ActualEvidenceDelta,ActualPoInf,TheoreticalBound,BoundSatisfied,BoundaryGap,TopNConditionSatisfied,FixedNMaskAgreement,FullRuleMaskAgreement,BaseSelectedCount,FullRuleN0,FullRuleSelectedCount,FullRuleESS
20270001,0,0,0,0,1,0.000767752420239853,1,1,1,31530,31530,31530,0.748523059760126
20270001,0.0001,9.99998793435458e-05,0.000550884792041906,0.0142399912644702,1,0.000767752420239853,0,1,1,31530,31530,31530,0.748523059760126
20270001,0.001,0.000999995440208604,0.00554693937282447,0.0466717753634576,1,0.000767752420239853,0,0.999983723958333,0.999991861979167,31530,31529,31529,0.748531035188777
20270001,0.01,0.00999998380645169,0.0673691995574693,0.1639998477806,1,0.000767752420239853,0,0.999886067708333,0.999894205729167,31530,31527,31527,0.748546986046172
20270001,0.05,0.0499996257841913,0.14723925381824,0.433047447249056,1,0.000767752420239853,0,0.999446614583333,0.999462890625,31530,31536,31536,0.748475207188886
20270002,0,0,0,0,1,0.000408833836055278,1,1,1,31456,31456,31456,0.749113241565533
20270002,0.0001,9.99992661619179e-05,0.000564050166938168,0.0142399468700286,1,0.000408833836055278,0,1,0.999991861979167,31456,31455,31455,0.749121216996519
20270002,0.001,0.000999997449669415,0.00562612881283109,0.0466718246675539,1,0.000408833836055278,0,0.999983723958333,0.9999755859375,31456,31453,31453,0.749137167858585
20270002,0.01,0.00999994555116155,0.067588553082908,0.1639994881804,1,0.000408833836055278,0,0.999886067708333,0.999886067708333,31456,31456,31456,0.749113241565533
20270002,0.05,0.0499998848179992,0.149586260831081,0.433048879836264,1,0.000408833836055278,0,0.999397786458333,0.999381510416667,31456,31450,31450,0.74916109415192
20270003,0,0,0,0,1,0.00412201999441097,1,1,1,31216,31216,31216,0.751027345903648
20270003,0.0001,9.99999063732576e-05,0.000587278455893125,0.0142399932214223,1,0.00412201999441097,0,1,1,31216,31216,31216,0.751027345903648
20270003,0.001,0.000999998635484343,0.00593599839990344,0.0466718537626678,1,0.00412201999441097,0,1,1,31216,31216,31216,0.751027345903648
20270003,0.01,0.00999997346555703,0.0649217562745308,0.163999750576113,1,0.00412201999441097,0,0.999951171875,0.999951171875,31216,31216,31216,0.751027345903648
20270003,0.05,0.0499995158217039,0.180032992381173,0.433046839100574,1,0.00412201999441097,0,0.999527994791667,0.999519856770833,31216,31221,31221,0.750987468711517
20270004,0,0,0,0,1,0.000136385437172426,1,1,1,31167,31167,31167,0.75141814242789
20270004,0.0001,9.99997260326888e-05,0.000508578428872974,0.0142399801647535,1,0.000136385437172426,0,1,0.999991861979167,31167,31166,31166,0.751426117867941
20270004,0.001,0.000999997341765708,0.00554902307649252,0.0466718220200315,1,0.000136385437172426,0,0.999983723958333,0.999991861979167,31167,31166,31166,0.751426117867941
20270004,0.01,0.00999993367126231,0.0627384392922191,0.163999376509096,1,0.000136385437172426,0,0.999934895833333,0.9999267578125,31167,31164,31164,0.751442068748137
20270004,0.05,0.0499999514011817,0.157622846973987,0.433049248074404,1,0.000136385437172426,0,0.99951171875,0.999503580729167,31167,31160,31160,0.751473970508904
20270005,0,0,0,0,1,0.000474308676889024,1,1,1,31081,31081,31081,0.752104030386294
20270005,0.0001,9.9999839517504e-05,0.000560211272599753,0.0142399883810628,1,0.000474308676889024,0,1,1,31081,31081,31081,0.752104030386294
20270005,0.001,0.000999999823727581,0.00534772259060079,0.046671882917347,1,0.000474308676889024,0,1,0.999983723958333,31081,31083,31083,0.752088079500923
20270005,0.01,0.00999997313243442,0.0597565179723668,0.163999747444757,1,0.000474308676889024,0,0.99990234375,0.99990234375,31081,31083,31083,0.752088079500923
20270005,0.05,0.0499998523671867,0.163884650697901,0.433048700367069,1,0.000474308676889024,0,0.999560546875,0.999568684895833,31081,31088,31088,0.75204820228804
20270006,0,0,0,0,1,0.00178424387945153,1,1,1,31781,31781,31781,0.746521228170785
20270006,0.0001,9.99995585777042e-05,0.00056426902574469,0.0142399680409917,1,0.00178424387945153,0,1,0.999991861979167,31781,31782,31782,0.746513252750129
20270006,0.001,0.00099999954215995,0.00543439482810282,0.0466718760088185,1,0.00178424387945153,0,1,0.999983723958333,31781,31783,31783,0.746505277329505
20270006,0.01,0.00999980992348704,0.058801748810105,0.163998213274456,1,0.00178424387945153,0,0.999934895833333,0.9999267578125,31781,31784,31784,0.746497301908913
20270006,0.05,0.0499999676128085,0.161388057856547,0.433049337732748,1,0.00178424387945153,0,0.999544270833333,0.999519856770833,31781,31764,31764,0.746656810326807
20270007,0,0,0,0,1,0.000258859612459306,1,1,1,31485,31485,31485,0.748881954080664
20270007,0.0001,9.99994073627233e-05,0.000512905207894709,0.0142399570929997,1,0.000258859612459306,0,1,1,31485,31485,31485,0.748881954080664
20270007,0.001,0.000999997322509265,0.00566666751914957,0.0466718215475559,1,0.000258859612459306,0,0.999983723958333,0.9999755859375,31485,31484,31484,0.748889929510735
20270007,0.01,0.00999992693629311,0.0623823287764042,0.163999313200221,1,0.000258859612459306,0,0.999853515625,0.999853515625,31485,31483,31483,0.748897904940838
20270007,0.05,0.0499998354997382,0.1491858840453,0.433048607081644,1,0.000258859612459306,0,0.99931640625,0.999308268229167,31485,31468,31468,0.749017536396164
20270008,0,0,0,0,1,0.00107493247463375,1,1,1,31358,31358,31358,0.749894833951771
20270008,0.0001,9.99999937921769e-05,0.000573270768707723,0.0142399995505536,1,0.00107493247463375,0,1,1,31358,31358,31358,0.749894833951771
20270008,0.001,0.000999997303726574,0.00513063198005415,0.0466718210867043,1,0.00107493247463375,0,1,1,31358,31358,31358,0.749894833951771
20270008,0.01,0.00999999243710973,0.0651111068897848,0.163999928908821,1,0.00107493247463375,0,0.999918619791667,0.999910481770833,31358,31359,31359,0.749886858517733
