Seed,Method,Repeat,RuntimeSec,SeedMedianRuntimeSec,SeedMeanRuntimeSec,SeedSDRuntimeSec
20270001,tSVD-LRA,1,0.0241955,0.0231183,0.0229956,0.00126571838494983
20270001,tSVD-LRA,2,0.021673,0.0231183,0.0229956,0.00126571838494983
20270001,tSVD-LRA,3,0.0231183,0.0231183,0.0229956,0.00126571838494983
20270001,HCL-TRPCA,1,1.3517477,1.3258208,1.32261256666667,0.0308645599580382
20270001,HCL-TRPCA,2,1.3258208,1.3258208,1.32261256666667,0.0308645599580382
20270001,HCL-TRPCA,3,1.2902692,1.3258208,1.32261256666667,0.0308645599580382
20270001,TNN-TRPCA,1,0.9374025,0.9558715,0.954272033333333,0.0161293890849385
20270001,TNN-TRPCA,2,0.9695421,0.9558715,0.954272033333333,0.0161293890849385
20270001,TNN-TRPCA,3,0.9558715,0.9558715,0.954272033333333,0.0161293890849385
20270001,p-TRPCA,1,6.3645949,6.4298288,6.58473486666667,0.326433011147162
20270001,p-TRPCA,2,6.4298288,6.4298288,6.58473486666667,0.326433011147162
20270001,p-TRPCA,3,6.9597809,6.4298288,6.58473486666667,0.326433011147162
20270002,p-TRPCA,1,6.9342325,6.0639594,6.30783303333333,0.54688968450815
20270002,p-TRPCA,2,6.0639594,6.0639594,6.30783303333333,0.54688968450815
20270002,p-TRPCA,3,5.9253072,6.0639594,6.30783303333333,0.54688968450815
20270002,tSVD-LRA,1,0.0212833,0.0212833,0.0213816,0.000246421853738665
20270002,tSVD-LRA,2,0.0211995,0.0212833,0.0213816,0.000246421853738665
20270002,tSVD-LRA,3,0.021662,0.0212833,0.0213816,0.000246421853738665
20270002,HCL-TRPCA,1,1.2611784,1.261523,1.2647964,0.00597061410241867
20270002,HCL-TRPCA,2,1.2716878,1.261523,1.2647964,0.00597061410241867
20270002,HCL-TRPCA,3,1.261523,1.261523,1.2647964,0.00597061410241867
20270002,TNN-TRPCA,1,0.8400389,0.8374318,0.834462333333333,0.00751500212264328
20270002,TNN-TRPCA,2,0.8374318,0.8374318,0.834462333333333,0.00751500212264328
20270002,TNN-TRPCA,3,0.8259163,0.8374318,0.834462333333333,0.00751500212264328
20270003,TNN-TRPCA,1,0.9166028,0.9166028,0.897063966666667,0.0473812666207156
20270003,TNN-TRPCA,2,0.9315513,0.9166028,0.897063966666667,0.0473812666207156
20270003,TNN-TRPCA,3,0.8430378,0.9166028,0.897063966666667,0.0473812666207156
20270003,p-TRPCA,1,5.4870869,5.4870869,5.48800813333333,0.0788718851477719
20270003,p-TRPCA,2,5.5673366,5.4870869,5.48800813333333,0.0788718851477719
20270003,p-TRPCA,3,5.4096009,5.4870869,5.48800813333333,0.0788718851477719
20270003,tSVD-LRA,1,0.0216947,0.0209019,0.0210151666666667,0.000630576254971066
20270003,tSVD-LRA,2,0.0209019,0.0209019,0.0210151666666667,0.000630576254971066
20270003,tSVD-LRA,3,0.0204489,0.0209019,0.0210151666666667,0.000630576254971066
20270003,HCL-TRPCA,1,1.012439,1.012439,1.01120936666667,0.00442169650737517
20270003,HCL-TRPCA,2,1.006303,1.012439,1.01120936666667,0.00442169650737517
20270003,HCL-TRPCA,3,1.0148861,1.012439,1.01120936666667,0.00442169650737517
20270004,HCL-TRPCA,1,1.0389531,1.0025033,1.01299266666667,0.022619955965106
20270004,HCL-TRPCA,2,0.9975216,1.0025033,1.01299266666667,0.022619955965106
20270004,HCL-TRPCA,3,1.0025033,1.0025033,1.01299266666667,0.022619955965106
20270004,TNN-TRPCA,1,0.8215364,0.8295875,0.8282662,0.00617607941901654
20270004,TNN-TRPCA,2,0.8295875,0.8295875,0.8282662,0.00617607941901654
20270004,TNN-TRPCA,3,0.8336747,0.8295875,0.8282662,0.00617607941901654
20270004,p-TRPCA,1,5.8760815,6.1879661,6.21558946666667,0.354128596509267
20270004,p-TRPCA,2,6.1879661,6.1879661,6.21558946666667,0.354128596509267
20270004,p-TRPCA,3,6.5827208,6.1879661,6.21558946666667,0.354128596509267
20270004,tSVD-LRA,1,0.02273,0.02273,0.0234569666666667,0.00226442882938134
20270004,tSVD-LRA,2,0.0259956,0.02273,0.0234569666666667,0.00226442882938134
20270004,tSVD-LRA,3,0.0216453,0.02273,0.0234569666666667,0.00226442882938134
20270005,tSVD-LRA,1,0.0234599,0.0234599,0.0269339666666667,0.00612374151098275
20270005,tSVD-LRA,2,0.0233373,0.0234599,0.0269339666666667,0.00612374151098275
20270005,tSVD-LRA,3,0.0340047,0.0234599,0.0269339666666667,0.00612374151098275
20270005,HCL-TRPCA,1,1.1775614,1.1782568,1.18699143333333,0.0157349048812928
20270005,HCL-TRPCA,2,1.2051561,1.1782568,1.18699143333333,0.0157349048812928
20270005,HCL-TRPCA,3,1.1782568,1.1782568,1.18699143333333,0.0157349048812928
20270005,TNN-TRPCA,1,0.9112981,0.9112981,0.908935033333333,0.0156247003511534
20270005,TNN-TRPCA,2,0.8922634,0.9112981,0.908935033333333,0.0156247003511534
20270005,TNN-TRPCA,3,0.9232436,0.9112981,0.908935033333333,0.0156247003511534
20270005,p-TRPCA,1,5.9505052,5.9505052,5.96266913333333,0.0736516429345827
20270005,p-TRPCA,2,5.8958567,5.9505052,5.96266913333333,0.0736516429345827
20270005,p-TRPCA,3,6.0416455,5.9505052,5.96266913333333,0.0736516429345827
